[File]
VBOX202410301209140001, Whole Session.csv
[Information]
2025-01-06T04:00:58.0580976Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:09:15.04,33°0016.67132400 S,148°0046.03164000 W,011.286,279.84,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+1.023433E-01,1.023433E-01,00000.000,0.000000,+00.035,+00.012,+00.033,
016,0,0,0,0,01:09:15.08,33°0016.67131200 S,148°0046.03155600 W,011.333,279.76,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+6.777219E-02,6.777219E-02,00000.126,0.040000,+00.035,+00.012,+00.033,
016,0,0,0,0,01:09:15.12,33°0016.67130000 S,148°0046.03147800 W,011.372,279.82,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+4.789198E-02,4.789198E-02,00000.252,0.080000,+00.029,-00.008,+00.028,
016,0,0,0,0,01:09:15.16,33°0016.67128800 S,148°0046.03139400 W,011.574,279.69,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+9.539809E-02,9.539809E-02,00000.380,0.120000,+00.144,+00.019,+00.143,
016,0,0,0,0,01:09:15.20,33°0016.67127600 S,148°0046.03131000 W,011.707,279.71,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+9.485615E-02,9.485615E-02,00000.509,0.160000,+00.094,-00.003,+00.094,
016,0,0,0,0,01:09:15.24,33°0016.67126400 S,148°0046.03122600 W,011.866,279.83,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.035097E-01,1.035097E-01,00000.640,0.200000,+00.114,-00.018,+00.113,
016,0,0,0,0,01:09:15.28,33°0016.67125200 S,148°0046.03113600 W,012.085,279.83,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.295083E-01,1.295083E-01,00000.773,0.240000,+00.155,+00.000,+00.155,
016,0,0,0,0,01:09:15.32,33°0016.67124000 S,148°0046.03105200 W,012.251,279.87,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.234068E-01,1.234068E-01,00000.908,0.280000,+00.118,-00.007,+00.118,
016,0,0,0,0,01:09:15.36,33°0016.67122800 S,148°0046.03096200 W,012.416,279.89,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.203507E-01,1.203507E-01,00001.045,0.320000,+00.117,-00.003,+00.117,
016,0,0,0,0,01:09:15.40,33°0016.67121600 S,148°0046.03087200 W,012.618,279.88,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.315527E-01,1.315527E-01,00001.184,0.360000,+00.143,+00.002,+00.143,
016,0,0,0,0,01:09:15.44,33°0016.67119800 S,148°0046.03077600 W,012.798,279.83,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.295040E-01,1.295040E-01,00001.325,0.400000,+00.128,+00.007,+00.127,
016,0,0,0,0,01:09:15.48,33°0016.67118600 S,148°0046.03068600 W,012.935,279.71,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.132576E-01,1.132576E-01,00001.468,0.440000,+00.099,+00.019,+00.097,
016,0,0,0,0,01:09:15.52,33°0016.67117400 S,148°0046.03059000 W,013.162,279.76,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.369080E-01,1.369080E-01,00001.613,0.480000,+00.161,-00.007,+00.161,
016,0,0,0,0,01:09:15.56,33°0016.67116200 S,148°0046.03049400 W,013.367,279.71,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.411322E-01,1.411322E-01,00001.761,0.520000,+00.145,+00.007,+00.145,
016,0,0,0,0,01:09:15.60,33°0016.67114400 S,148°0046.03039800 W,013.529,279.82,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.279186E-01,1.279186E-01,00001.910,0.560000,+00.116,-00.019,+00.115,
016,0,0,0,0,01:09:15.64,33°0016.67113200 S,148°0046.03029600 W,013.738,279.82,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+1.378882E-01,1.378882E-01,00002.062,0.600000,+00.148,+00.001,+00.148,
016,0,0,0,0,01:09:15.68,33°0016.67112000 S,148°0046.03020000 W,013.820,279.63,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+9.841149E-02,9.841149E-02,00002.215,0.640000,+00.066,+00.031,+00.058,
016,0,0,0,0,01:09:15.72,33°0016.67110200 S,148°0046.03009800 W,013.986,279.67,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+1.078047E-01,1.078047E-01,00002.369,0.680000,+00.118,-00.007,+00.118,
016,0,0,0,0,01:09:15.76,33°0016.67109000 S,148°0046.02999600 W,014.324,279.77,+00500.650,000.000,001,0001,-000000001,00:00:00.04,+1.737021E-01,1.737021E-01,00002.527,0.720000,+00.240,-00.018,+00.239,
016,0,0,0,0,01:09:15.80,33°0016.67107200 S,148°0046.02988800 W,014.555,280.03,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.687206E-01,1.687206E-01,00002.687,0.760000,+00.170,-00.045,+00.164,
016,0,0,0,0,01:09:15.84,33°0016.67106000 S,148°0046.02978000 W,014.800,280.04,+00500.640,000.130,001,0001,-000000001,00:00:00.04,+1.711036E-01,1.711036E-01,00002.850,0.800000,+00.174,-00.003,+00.173,
016,0,0,0,0,01:09:15.88,33°0016.67104200 S,148°0046.02967200 W,014.904,279.85,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.224095E-01,1.224095E-01,00003.015,0.840000,+00.082,+00.036,+00.074,
016,0,0,0,0,01:09:15.92,33°0016.67103000 S,148°0046.02956400 W,015.138,279.51,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.446264E-01,1.446264E-01,00003.182,0.880000,+00.177,+00.063,+00.166,
016,0,0,0,0,01:09:15.96,33°0016.67101200 S,148°0046.02945600 W,015.257,279.44,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.148299E-01,1.148299E-01,00003.351,0.920000,+00.085,+00.014,+00.084,
016,0,0,0,0,01:09:16.00,33°0016.67100000 S,148°0046.02934200 W,015.480,279.46,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.364169E-01,1.364169E-01,00003.522,0.960000,+00.158,-00.004,+00.158,
016,0,0,0,0,01:09:16.04,33°0016.67098200 S,148°0046.02922800 W,015.700,279.59,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.458119E-01,1.458119E-01,00003.695,1.000000,+00.158,-00.026,+00.156,
016,0,0,0,0,01:09:16.08,33°0016.67096400 S,148°0046.02911400 W,015.840,279.91,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.230320E-01,1.230320E-01,00003.870,1.040000,+00.117,-00.061,+00.099,
016,0,0,0,0,01:09:16.12,33°0016.67095200 S,148°0046.02900000 W,015.998,279.83,+00500.660,000.130,001,0001,-000000001,00:00:00.04,+1.174957E-01,1.174957E-01,00004.047,1.080000,+00.113,+00.016,+00.112,
016,0,0,0,0,01:09:16.16,33°0016.67093400 S,148°0046.02888600 W,016.229,279.64,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.403110E-01,1.403110E-01,00004.226,1.120000,+00.168,+00.037,+00.164,
016,0,0,0,0,01:09:16.20,33°0016.67091600 S,148°0046.02876600 W,016.492,279.47,+00500.650,000.130,001,0001,-000000001,00:00:00.04,+1.634822E-01,1.634822E-01,00004.408,1.160000,+00.190,+00.036,+00.186,
016,0,0,0,0,01:09:16.24,33°0016.67090400 S,148°0046.02864600 W,016.596,279.48,+00500.660,000.130,001,0001,-000000001,00:00:00.04,+1.187720E-01,1.187720E-01,00004.592,1.200000,+00.074,-00.004,+00.074,
016,0,0,0,0,01:09:16.28,33°0016.67088600 S,148°0046.02852600 W,016.837,279.54,+00500.660,000.130,001,0001,-000000001,00:00:00.04,+1.447207E-01,1.447207E-01,00004.777,1.240000,+00.171,-00.011,+00.171,
