[File]
VBOX202410301214310001, Whole Session.csv
[Information]
2025-01-07T04:09:53.0838173Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:14:33.76,33°0016.66915800 S,148°0046.01682600 W,030.571,279.39,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+9.888912E-02,9.888912E-02,00007.840,0.960000,+00.185,+00.105,+00.153,
016,0,0,0,0,01:14:33.80,33°0016.66912800 S,148°0046.01660400 W,030.852,279.41,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+1.487683E-01,1.487683E-01,00008.181,1.000000,+00.199,-00.005,+00.199,
016,0,0,0,0,01:14:33.84,33°0016.66909800 S,148°0046.01638200 W,030.960,279.28,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+1.136702E-01,1.136702E-01,00008.524,1.040000,+00.091,+00.049,+00.076,
016,0,0,0,0,01:14:33.88,33°0016.66906200 S,148°0046.01616000 W,031.090,279.63,+00500.250,000.389,001,0001,-000000001,00:00:00.04,+1.031176E-01,1.031176E-01,00008.869,1.080000,+00.164,-00.135,+00.092,
016,0,0,0,0,01:14:33.92,33°0016.66903200 S,148°0046.01594400 W,031.154,279.67,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+7.536573E-02,7.536573E-02,00009.215,1.120000,+00.048,-00.015,+00.045,
016,0,0,0,0,01:14:33.96,33°0016.66900200 S,148°0046.01572200 W,031.237,279.49,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+6.636768E-02,6.636768E-02,00009.561,1.160000,+00.090,+00.069,+00.059,
016,0,0,0,0,01:14:34.00,33°0016.66897200 S,148°0046.01550000 W,031.244,279.39,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+3.703024E-02,3.703024E-02,00009.909,1.200000,+00.040,+00.039,+00.005,
016,0,0,0,0,01:14:34.04,33°0016.66894200 S,148°0046.01527800 W,031.360,279.59,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+5.911834E-02,5.911834E-02,00010.256,1.240000,+00.112,-00.076,+00.082,
016,0,0,0,0,01:14:34.08,33°0016.66890600 S,148°0046.01505600 W,031.360,279.58,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+2.981851E-02,2.981851E-02,00010.605,1.280000,+00.003,+00.003,+00.000,
016,0,0,0,0,01:14:34.12,33°0016.66887000 S,148°0046.01484000 W,031.126,280.11,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+8.186379E-02,8.186379E-02,00010.952,1.320000,+00.263,-00.205,-00.166,
