[File]
VBOX202410301159260001, Whole Session.csv
[Information]
2024-12-04T02:50:27.0741294Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,00:59:27.44,33°0016.66850400 S,148°0046.02635400 W,024.797,279.22,+00499.620,000.130,001,0001,000002666,00:00:00.04,+1.425819E-01,1.425819E-01,00000.001,0.000000,+00.135,-00.028,+00.132,
016,0,0,0,0,00:59:27.48,33°0016.66848000 S,148°0046.02617400 W,024.984,279.31,+00499.620,000.259,001,0001,000002733,00:00:00.04,+1.374559E-01,1.374559E-01,00000.278,0.040000,+00.135,-00.028,+00.132,
016,0,0,0,0,00:59:27.56,33°0016.66843200 S,148°0046.02581400 W,025.416,279.33,+00499.620,000.259,001,0001,000002766,00:00:00.08,+7.647877E-02,7.647877E-02,00000.838,0.120000,+00.153,-00.003,+00.153,
016,0,0,0,0,00:59:27.60,33°0016.66840800 S,148°0046.02562800 W,025.628,279.45,+00499.620,000.259,001,0001,000002799,00:00:00.04,+1.136872E-01,1.136872E-01,00001.121,0.160000,+00.155,-00.037,+00.150,
016,0,0,0,0,00:59:27.64,33°0016.66838400 S,148°0046.02544800 W,025.765,279.36,+00499.630,000.130,001,0001,000002866,00:00:00.04,+1.051590E-01,1.051590E-01,00001.407,0.200000,+00.101,+00.028,+00.097,
016,0,0,0,0,00:59:27.68,33°0016.66836000 S,148°0046.02526200 W,025.945,279.14,+00499.630,000.130,001,0001,000002899,00:00:00.04,+1.171044E-01,1.171044E-01,00001.694,0.240000,+00.145,+00.070,+00.127,
016,0,0,0,0,00:59:27.72,33°0016.66833000 S,148°0046.02507000 W,026.194,279.18,+00499.630,000.130,001,0001,000002933,00:00:00.04,+1.463285E-01,1.463285E-01,00001.984,0.280000,+00.177,-00.014,+00.176,
016,0,0,0,0,00:59:27.76,33°0016.66830600 S,148°0046.02488400 W,026.525,279.35,+00499.630,000.259,001,0001,000002966,00:00:00.04,+1.903646E-01,1.903646E-01,00002.277,0.320000,+00.240,-00.053,+00.234,
016,0,0,0,0,00:59:27.80,33°0016.66827600 S,148°0046.02469200 W,026.698,279.59,+00499.630,000.259,001,0001,000002999,00:00:00.04,+1.575304E-01,1.575304E-01,00002.572,0.360000,+00.146,-00.080,+00.123,
016,0,0,0,0,00:59:27.84,33°0016.66825200 S,148°0046.02450000 W,026.831,279.54,+00499.630,000.259,001,0001,000003066,00:00:00.04,+1.259093E-01,1.259093E-01,00002.870,0.400000,+00.096,+00.017,+00.094,
016,0,0,0,0,00:59:27.88,33°0016.66822800 S,148°0046.02430800 W,027.068,279.25,+00499.630,000.259,001,0001,000003099,00:00:00.04,+1.470903E-01,1.470903E-01,00003.169,0.440000,+00.193,+00.095,+00.168,
016,0,0,0,0,00:59:27.92,33°0016.66819800 S,148°0046.02411000 W,027.374,279.10,+00499.630,000.259,001,0001,000003133,00:00:00.04,+1.825939E-01,1.825939E-01,00003.471,0.480000,+00.223,+00.051,+00.217,
016,0,0,0,0,00:59:27.96,33°0016.66817400 S,148°0046.02391800 W,027.544,279.31,+00499.630,000.259,001,0001,000003166,00:00:00.04,+1.507791E-01,1.507791E-01,00003.777,0.520000,+00.139,-00.070,+00.120,
016,0,0,0,0,00:59:28.00,33°0016.66814400 S,148°0046.02372000 W,027.709,279.32,+00499.630,000.259,001,0001,000003199,00:00:00.04,+1.340261E-01,1.340261E-01,00004.084,0.560000,+00.117,-00.004,+00.117,
016,0,0,0,0,00:59:28.04,33°0016.66812000 S,148°0046.02351600 W,027.997,279.34,+00499.640,000.259,001,0001,000003266,00:00:00.04,+1.689956E-01,1.689956E-01,00004.393,0.600000,+00.204,-00.007,+00.204,
016,0,0,0,0,00:59:28.08,33°0016.66809000 S,148°0046.02331800 W,028.170,279.35,+00499.640,000.259,001,0001,000003299,00:00:00.04,+1.456939E-01,1.456939E-01,00004.705,0.640000,+00.123,-00.004,+00.123,
016,0,0,0,0,00:59:28.12,33°0016.66806000 S,148°0046.02311400 W,028.429,279.42,+00499.640,000.259,001,0001,000003333,00:00:00.04,+1.647307E-01,1.647307E-01,00005.019,0.680000,+00.185,-00.022,+00.183,
