[File]
VBOX202410301216510001, Whole Session.csv
[Information]
2025-01-07T21:29:29.2053702Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:16:52.08,33°0016.66960200 S,148°0046.03419000 W,013.500,279.90,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.550747E-01,1.550747E-01,00000.002,0.000000,+00.210,+00.019,+00.209,
016,0,0,0,0,01:16:52.12,33°0016.66959000 S,148°0046.03408800 W,013.795,279.79,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.821589E-01,1.821589E-01,00000.153,0.040000,+00.210,+00.019,+00.209,
016,0,0,0,0,01:16:52.16,33°0016.66957200 S,148°0046.03399200 W,013.853,279.81,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.115066E-01,1.115066E-01,00000.307,0.080000,+00.041,-00.004,+00.041,
016,0,0,0,0,01:16:52.20,33°0016.66956000 S,148°0046.03389000 W,014.036,280.01,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.207581E-01,1.207581E-01,00000.462,0.120000,+00.134,-00.035,+00.130,
016,0,0,0,0,01:16:52.24,33°0016.66954200 S,148°0046.03378800 W,014.281,279.99,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.470434E-01,1.470434E-01,00000.619,0.160000,+00.174,+00.004,+00.173,
016,0,0,0,0,01:16:52.28,33°0016.66953000 S,148°0046.03368000 W,014.450,280.01,+00500.540,000.130,001,0001,-000000001,00:00:00.04,+1.334461E-01,1.334461E-01,00000.779,0.200000,+00.120,-00.005,+00.120,
016,0,0,0,0,01:16:52.32,33°0016.66951200 S,148°0046.03357800 W,014.681,279.97,+00500.540,000.130,001,0001,-000000001,00:00:00.04,+1.482897E-01,1.482897E-01,00000.941,0.240000,+00.164,+00.009,+00.164,
016,0,0,0,0,01:16:52.36,33°0016.66950000 S,148°0046.03346400 W,014.987,279.74,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.826766E-01,1.826766E-01,00001.105,0.280000,+00.221,+00.042,+00.217,
016,0,0,0,0,01:16:52.40,33°0016.66948200 S,148°0046.03335600 W,015.160,279.66,+00500.550,000.000,001,0001,-000000001,00:00:00.04,+1.527197E-01,1.527197E-01,00001.273,0.320000,+00.123,+00.014,+00.123,
016,0,0,0,0,01:16:52.44,33°0016.66946400 S,148°0046.03324200 W,015.426,279.63,+00500.540,000.000,001,0001,-000000001,00:00:00.04,+1.707621E-01,1.707621E-01,00001.443,0.360000,+00.188,+00.006,+00.188,
016,0,0,0,0,01:16:52.48,33°0016.66945200 S,148°0046.03313400 W,015.581,279.71,+00500.540,000.130,001,0001,-000000001,00:00:00.04,+1.401360E-01,1.401360E-01,00001.615,0.400000,+00.111,-00.015,+00.110,
016,0,0,0,0,01:16:52.52,33°0016.66943400 S,148°0046.03302000 W,015.901,279.85,+00500.540,000.130,001,0001,-000000001,00:00:00.04,+1.834987E-01,1.834987E-01,00001.790,0.440000,+00.228,-00.028,+00.227,
016,0,0,0,0,01:16:52.56,33°0016.66941600 S,148°0046.03290600 W,015.970,280.07,+00500.550,000.130,001,0001,-000000001,00:00:00.04,+1.164313E-01,1.164313E-01,00001.967,0.480000,+00.065,-00.043,+00.049,
016,0,0,0,0,01:16:52.60,33°0016.66939800 S,148°0046.03278600 W,016.337,280.05,+00500.550,000.000,001,0001,-000000001,00:00:00.04,+1.881428E-01,1.881428E-01,00002.147,0.520000,+00.260,+00.004,+00.260,
016,0,0,0,0,01:16:52.64,33°0016.66938000 S,148°0046.03266600 W,016.600,279.84,+00500.550,000.130,001,0001,-000000001,00:00:00.04,+1.870606E-01,1.870606E-01,00002.330,0.560000,+00.191,+00.042,+00.186,
016,0,0,0,0,01:16:52.68,33°0016.66936800 S,148°0046.03254000 W,016.819,279.52,+00500.550,000.130,001,0001,-000000001,00:00:00.04,+1.719695E-01,1.719695E-01,00002.515,0.600000,+00.169,+00.068,+00.155,
016,0,0,0,0,01:16:52.72,33°0016.66935000 S,148°0046.03242000 W,016.970,279.38,+00500.550,000.130,001,0001,-000000001,00:00:00.04,+1.403799E-01,1.403799E-01,00002.703,0.640000,+00.111,+00.030,+00.107,
016,0,0,0,0,01:16:52.76,33°0016.66933200 S,148°0046.03229400 W,017.222,279.66,+00500.550,000.130,001,0001,-000000001,00:00:00.04,+1.588351E-01,1.588351E-01,00002.893,0.680000,+00.188,-00.060,+00.178,
016,0,0,0,0,01:16:52.80,33°0016.66930800 S,148°0046.03216800 W,017.536,280.20,+00500.550,000.130,001,0001,-000000001,00:00:00.04,+1.914752E-01,1.914752E-01,00003.086,0.720000,+00.251,-00.117,+00.222,
